yelp_feature.avgstar,yelp_feature.location,yelp_feature.business_count,yelp_feature.reviewcount,yelp_feature.five_star_count,yelp_feature.four_star_count,yelp_feature.three_star_count,yelp_feature.two_star_count,yelp_feature.one_star_count,yelp_feature.senti_neg_avg,yelp_feature.senti_pos_avg,yelp_feature.senti_neu_avg,yelp_feature.senti_comp_avg,yelp_feature.senti_compound_pos_count,yelp_feature.senti_compound_neg_count,yelp_feature.senti_compound_neu_count
3.428138376468079,80,29,131294,358,209,131,103,193,0.056744466800804846,0.1789557344064387,0.7642987927565399,0.5061317907444672,770,214,10
3.61328125,88,2,512,10,8,3,5,4,0.06006666666666667,0.21863333333333332,0.7212999999999999,0.62116,25,5,NULL
4.0,91,1,144,3,4,4,1,NULL,0.04025,0.22983333333333336,0.72975,0.6844250000000001,10,2,NULL
3.8840070298769773,94,7,2276,31,29,7,9,14,0.05675555555555555,0.19672222222222216,0.7465111111111112,0.5549922222222221,72,17,1
3.5996640537514,95,12,893,36,5,5,5,28,0.04924050632911392,0.1595569620253164,0.791126582278481,0.4567405063291138,57,19,3
3.938181818181818,97,5,1375,22,18,4,4,7,0.043127272727272736,0.2097999999999999,0.7470545454545457,0.6604018181818182,47,8,NULL
2.0081967213114753,98,3,61,3,1,NULL,1,8,0.06969230769230769,0.14607692307692305,0.7842307692307693,0.1715769230769231,7,5,1
5.0,99,1,9,3,NULL,NULL,NULL,NULL,0.006666666666666667,0.27233333333333337,0.721,0.9807666666666667,3,NULL,NULL
2.9831286486991573,100,28,470887,324,377,293,258,323,0.057107936507936496,0.175503492063492,0.7673917460317472,0.541690857142858,1256,311,8
5.0,105,1,552,18,4,1,NULL,NULL,0.03969565217391304,0.1729130434782609,0.7873478260869566,0.7398739130434783,21,2,NULL
3.0,113,1,2862,7,16,9,10,11,0.09373584905660376,0.13903773584905663,0.7672075471698112,0.21654905660377366,31,22,NULL
3.554165871804655,114,23,41936,172,100,46,31,79,0.05616355140186919,0.18214252336448616,0.7617266355140192,0.5703829439252335,351,73,4
4.0,115,1,42,3,1,NULL,2,NULL,0.036,0.17733333333333334,0.7868333333333335,0.7637,6,NULL,NULL
3.192982456140351,116,6,285,8,10,8,2,9,0.060351351351351355,0.17486486486486486,0.7649189189189189,0.5259189189189191,31,4,2
3.157283288650581,117,7,1119,29,9,1,6,26,0.061323943661971816,0.1432112676056338,0.7954647887323946,0.4285042253521128,53,18,NULL
3.9963963033713665,118,4,96845,151,115,38,21,12,0.031388724035608294,0.24030563798219579,0.7282670623145394,0.8032189910979234,320,16,1
3.906993006993007,119,5,1430,14,17,6,3,13,0.06173584905660375,0.18175471698113205,0.7565660377358492,0.4992509433962265,41,12,NULL
3.093152477839253,120,55,84045,241,242,182,134,177,0.05362500000000003,0.163484631147541,0.7828698770491791,0.5059252049180332,773,189,14
1.2,132,2,15,NULL,NULL,1,1,3,0.10319999999999999,0.07039999999999999,0.827,-0.30948000000000003,1,4,NULL
4.974763406940063,133,3,317,21,2,1,NULL,NULL,0.04029166666666668,0.17125,0.7886250000000001,0.6968458333333333,22,2,NULL
3.2099869167030093,134,12,2293,50,15,13,14,29,0.06114049586776859,0.15313223140495869,0.7857024793388432,0.4540900826446281,89,26,6
3.801324503311258,135,6,151,12,4,5,1,5,0.04551851851851852,0.1628148148148148,0.7916296296296297,0.48763333333333325,20,6,1
3.898038321167883,136,6,2192,48,22,3,4,7,0.051976190476190495,0.17682142857142857,0.7712261904761905,0.6394797619047621,70,13,1
4.083795782463929,137,3,3604,62,18,7,5,7,0.03624242424242424,0.19092929292929298,0.7728383838383833,0.7821222222222225,92,6,1
3.087525954320396,138,18,6261,80,44,23,25,59,0.05541991341991341,0.16794805194805185,0.7766320346320346,0.4794168831168831,174,56,1
3.7444802388622613,139,13,12727,98,72,33,24,38,0.039154716981132064,0.2082415094339622,0.7526452830188679,0.6615211320754708,232,30,3
