136	fried rice;chinese food;chicken wings;marks luggage;travel pro;highly recommend;repair shop;egg rolls;luggage repair;brand new;pick up;new bag;fried chicken;your order;authorized repair;egg roll;customer service;these guys;no problem;great service;
137	true view;passport photos;highly recommend;very professional;customer service;came out;true view windows;view windows;make sure;passport photo;sliding glass;great job;mexican food;come out;very good;same day;recommend them;sweet tea;williams passport;mr williams;
138	waffle house;customer service;front desk;classic party;party rentals;classic party rentals;holiday inn;tuff shed;hash browns;highly recommend;coyote courier;top hatter;go back;very nice;free wifi;not only;away from;fire water;showed up;hilton garden inn;
139	customer service;dr plummer;good food;really good;dr evans;came out;industrial area;come out;very good;fast food;so much;highly recommend;going back;very friendly;pretty good;very nice;didnt want;first time;set up;pretzel bun;
140	front desk;spring training;customer service;pool area;very nice;rio salado;happy hour;away from;come back;go back;parking lot;hot tubs;very friendly;very good;ended up;breakfast buffet;check out;first time;built into;not sure;
146	grace walk;pastor joe;worship team;grace walk community;walk community;preach about;years ago;good morning;walk about;ms mary ann;mary ann;community church;get your;started attending;pastor fred;celebrate recovery;pastor joe calloway;grace walk about;joe calloway;so many;
147	0 stars;purchased two;ford f150s;purchased two bucket trucks;disclosed such;cool very bad;nicely detailed;from these;accelerator pedal;bad business;upon reconnection;two ford;nicely detailed can;knowingly sold;practicenot cool very bad;some who;then went;bidding engine sounded;bad needs;loud rattle broke down;
149	moving company;pick up;your move;them again;use them again;definitely use;2 days;cross country;your items;never use;use them;moving companies;move long;moved from;other moving;suggested trailer;definitely use them again;move date;abf upack;customer service;
15	legend cleaners;customer service;dry cleaning;dropped off;black sweater;so much;very friendly;hardware store;every time;dry cleaners;yellow top;shaved ice;phone call;same day;make sure;first time;day service;many times;know what;same day service;
150	great food;first time;industrial area;kays kafe;good food;well worth;great breakfast;breakfast place;hidden gem;really good;great place;breakfast burrito;tucked away;egg benedict;grilled cheese;french toast;hot delicious;pancakes great;chorizo omelet;natural habitat;
152	wheel lift;level roadway;could not;tow truck;pick up;roadside assistance;by them;oil pan;slanted surface;industrial towing;correctly he asked;phone call theres no reason;turned sideways without;others out;denied having any;vehicle correctly;truck company;very begining;your vehicle;tried again;
153	waste management;customer service;pick up;per month;not cancel;could not;corporate america;night before;days prior;not recommend;trash bin;could not cancel;blinds n;not recommend them;good lol;almost double;onion rings;not use;recycle bin;use waste;
154	mexican food;comedor guadalajara;best mexican;authentic mexican;mexican restaurant;best mexican food;carne asada;very good;parking lot;so good;really good;authentic mexican food;shredded beef;good mexican;cheese enchilada;green chile;cheese crisp;go back;mexican restaurants;great food;
155	mexican food;best mexican;best mexican food;very good;best tortillas;green chile;authentic mexican;good food;pick up;flour tortillas;ive ever;homemade tortillas;authentic mexican food;make sure;shredded beef;mexican restaurant;go back;green chili;take home;red chile;
156	customer service;rental car;car rental;rent from;sky harbor;pick up;from hertz;credit card;ended up;gold member;hertz again;no one;never rent;your car;30 minutes;rent from hertz;hertz location;from budget;phoenix airport;car from;
157	best western;customer service;front desk;alaska airlines;rodehouse restaurant;alaska air;flight from;5 stars;happy hour;not worth;wake up;water softener;tucked away;rental car;drive back;nice hotel;terminal 2;fly alaska;very comfortable;shout out;
158	united van;s m;van lines;united van lines;customer service;washer dryer;very professional;use them again;storage unit;by far;use them;m moving;them again;brand new;these people;went over;moved from;into storage;storage area;s m moving;
159	yellow cab;customer service;front desk;credit card;cab company;sky harbor;ended up;pick up;pretty good;phoenix airport;15 minutes;give them;these guys;no one;paradise bakery;highly recommend;he said;home from;like new;showed up;
16	30 days;desert foothills;foothills united;foothills united methodist church;move out bill;out bill;united methodist church;move out;any issues;desert foothills united methodist;extra day;methodist church;moved out;no issues;united methodist;desert foothills united;really enjoys;foothills united methodist;desert foothills united methodist church;from them;
160	customer service;springhill suites;very friendly;these guys;front desk;sky harbor;very nice;fast food;make sure;new owners;free wifi;very good;la quinta;seasoned fries;really good;first time;ended up;5 minutes;very helpful;highly recommend;
161	drop off;hv done;wasnt so important;drop off pretty close;te item;incorrectly also;counter greeted;8 months;fax 13;2 roaming;little interaction toward;least 8;kinda scattered;really sticks out;too friendly;wasnt so;line just kinda;turns out;really sticks;save your money ppl buy;
162	other reviews;clue should;other places;great food;de camaron;authentic mexican;best ive;mexican food;very friendly;couple times;shredded beef hard shell hand;normal one;not cut;he told;felt totally;pretty good;fresh huge;go back give;area looks;very tasty fresh plus;
163	long branch;early afternoon lot;great old school;bloody marys ive;pool tables;hometown bar since;great old school music;ive ever tasted;marys ive;best bloody marys ive;great cant wait;great place pool tables music;bar natasha makes;favorite place;place pool;tables music great service;bloody marys ive ever;early afternoon;old school music;soon long;
164	cash only;mexican food;customer service;onion rings;chicken tenders;deep fried;carne asada;fast food;petes fish;great food;mini tacos;petes sauce;fish n;frozen fish;pretty much;only reason;try them;go back;long john;good mexican;
165	home depot;from home depot;from home;customer service;inches wide;give them;new dishwasher;not install;zero stars;call 30;new washer;30 minutes;any questions;ge delivery;appliance from;new unit;old dishwasher;day before;depot again;two days;
166	sysco house;bad apples;life due;harassment from management;sysco house should get;question your judgement spy;question your judgement;who help grow;22 years;no calls no;transportation management;help grow;always believed;across good luck;company bs;luck good;see what;sales associate;brutal customer;across good luck good;
167	all city;wait time;city towing;all city towing;running late;didnt even;apartment complex;not submit;call center staff;pretow photo;thanks all city towing personnal;experience can make;towing personnal dee;holding up;over double what;operator called;too much;late fine just call;break your;stay far away;
168	shade n;shade n net;n net;walk away;truck driver;driver training;amazing shade;truck driver training;youll walk;youll walk away;cannot imagine any company;walk away not only;great priced;away not;best instructor ive ever;program everything;anywhere else;company being more;great prices;guy so thanks;
169	go back;urgent care;charge extra;within 15;industrial area;new bowl;xray tech;samurai sams;within 15 minutes;15 minutes;front desk;people who;person who;fill out;brown ricefor;time weve;always made;front desk person who based;charge extra kudos;could see;
17	two years;so much;eve service;casting company;get connected;mountain park;satin finish;trust others;ring from;really made;tough changing;sermons so;christmas eve service;now attend arizona community church;only member who;process often;he incredibly defensive;concert some people may;any reason;bring perspective;
170	carne asada;ralphs snack;tennis balls;food truck;pretty good;pico de gallo;pico de;penn tennis balls;carne asada burrito;ralphs snack bar;carne asada tacos;snack bar;penn tennis;de gallo;asada burrito;asada tacos;come out;sour cream;truck comes;started off;
171	carne asada;mexican food;al pastor;customer service;best tacos;tacos de;tacos al;tacos al pastor;not sure;carne asada burrito;asada burrito;great food;go back;always get;5 stars;bring cash;pastor tacos;los tacos;very authentic;food great;
172	customer service;make sure;penny pincher;van buren;elderly man;old man;not bad;auto parts;lawn mower;trip charge;ive never;can get;power washer;pretty good;burger fries;mexican food;so much;cash only;petes fish;phoenix trailer;
173	customer service;mexican food;great place;la canasta;salsa bar;go back;sour cream;very good;so good;pretty good;came out;several times;tortilla chips;check out;diner 50;can get;breakfast burrito;first time;breakfast burritos;flour tortilla;
174	fried chicken;downtown phoenix;big unit;first time;go back;very good;really good;customer service;sweet tea;hot dog;come back;pretty good;soul food;sports bar;ive ever;convention center;hard rock;came out;lo los;great place;
175	science center;mexican food;so much;la tolteca;go back;very good;arizona science;great place;arizona science center;arizona center;pretty good;happy hour;next time;first time;really good;sweet potato;customer service;so many;white chocolate;pizzeria bianco;
176	carne asada;customer service;mexican food;bus station;pool service;make sure;swimming pool service;swimming pool;first time;highly recommend;very good;authentic mexican;pick up;next bus;greyhound again;no one;ive ever;he said;5 stars;greyhound station;
