phoenix_complete_feature.avgstar,phoenix_complete_feature.gtfs1,phoenix_complete_feature.gtfs2,phoenix_complete_feature.gtfs3,phoenix_complete_feature.gtfs4,phoenix_complete_feature.gtfs5,phoenix_complete_feature.gtfs6,phoenix_complete_feature.gtfs7,phoenix_complete_feature.gtfs8,phoenix_complete_feature.gtfs9,phoenix_complete_feature.location,phoenix_complete_feature.business_count,phoenix_complete_feature.reviewcount,phoenix_complete_feature.five_star_count,phoenix_complete_feature.four_star_count,phoenix_complete_feature.three_star_count,phoenix_complete_feature.two_star_count,phoenix_complete_feature.one_star_count,phoenix_complete_feature.senti_neg_avg,phoenix_complete_feature.senti_pos_avg,phoenix_complete_feature.senti_neu_avg,phoenix_complete_feature.senti_comp_avg,phoenix_complete_feature.senti_compound_pos_count,phoenix_complete_feature.senti_compound_neg_count,phoenix_complete_feature.senti_compound_neu_count,phoenix_complete_feature.tweet_count,phoenix_complete_feature.senti_negative_avg,phoenix_complete_feature.senti_neutral_avg,phoenix_complete_feature.senti_positive_avg,phoenix_complete_feature.senti_compound_avg,phoenix_complete_feature.senti_compound_positive_count,phoenix_complete_feature.senti_compound_negative_count,phoenix_complete_feature.senti_compound_neutral_count
3.5996640538,0,0,0,0,0,0,0,0,0,95,12,893,36,5,5,5,28,0.0492405063,0.159556962,0.7911265823,0.4567405063,57,19,3,27,0.0150370372,0.8690740775,0.1158888897,0.1327814798,7,2,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.9440000057,0.0560000017,0.130466671,2,0,4
3.9381818182,0,0,0,0,0,0,0,0,0,97,5,1375,22,18,4,4,7,0.0431272727,0.2098,0.7470545455,0.6604018182,47,8,0,30,0.0285333325,0.8282666693,0.1431999981,0.2239199986,14,2,14
2.0081967213,0,0,0,0,0,0,0,0,0,98,3,61,3,1,0,1,8,0.0696923077,0.1460769231,0.7842307692,0.1715769231,7,5,1,28,0.1411785712,0.7455357132,0.113285715,0.0299392834,12,6,10
5,0,0,0,0,0,0,0,0,0,99,1,9,3,0,0,0,0,0.0066666667,0.2723333333,0.721,0.9807666667,3,0,0,36,0.0131111112,0.894861112,0.0920277784,0.1577194445,16,2,18
2.9831286487,0,0,0,0,0,0,0,0,0,100,28,470887,324,377,293,258,323,0.0571079365,0.1755034921,0.767391746,0.5416908571,1256,311,8,36,0.0406388885,0.8356666648,0.1236666667,0.140086108,16,7,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,5
5,0,0,0,0,0,0,0,0,0,105,1,552,18,4,1,0,0,0.0396956522,0.1729130435,0.7873478261,0.739873913,21,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.7896666725,0.2103333374,0.4866999884,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7450000048,0.2549999952,0.6248999834,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0268333331,0.9058333337,0.0673333357,0.0608499994,1,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.6773333251,0.3226666724,0.5765666564,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.8096000016,0.1904000044,0.3752999961,3,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.8130000035,0.1870000015,0.4086333315,3,0,3
3,0,0,0,0,0,0,0,0,0,113,1,2862,7,16,9,10,11,0.0937358491,0.1390377358,0.7672075472,0.2165490566,31,22,0,1,0,0.6060000062,0.3939999938,0.885800004,1,0,0
3.5541658718,0,0,0,0,0,0,0,0,0,114,23,41936,172,100,46,31,79,0.0561635514,0.1821425234,0.7617266355,0.5703829439,351,73,4,3,0,0.6693333288,0.3306666563,0.498633345,2,0,1
4,0,0,0,0,0,0,0,0,0,115,1,42,3,1,0,2,0,0.036,0.1773333333,0.7868333333,0.7637,6,0,0,63,0.0600158722,0.7756031761,0.164396826,0.2064317472,31,12,20
3.1929824561,0,0,0,0,0,0,0,0,0,116,6,285,8,10,8,2,9,0.0603513514,0.1748648649,0.7649189189,0.5259189189,31,4,2,5,0.0386000007,0.9113999963,0.05,0.0271399975,1,1,3
3.1572832887,0,0,0,0,0,0,0,0,0,117,7,1119,29,9,1,6,26,0.0613239437,0.1432112676,0.7954647887,0.4285042254,53,18,0,10,0.0224000007,0.8262999952,0.1512999997,0.2354799986,5,0,5
3.9963963034,0,0,0,0,0,0,0,0,0,118,4,96845,151,115,38,21,12,0.031388724,0.240305638,0.7282670623,0.8032189911,320,16,1,30,0.0040333333,0.7994999955,0.196466665,0.4280766651,20,0,10
3.906993007,0,0,0,0,0,0,0,0,0,119,5,1430,14,17,6,3,13,0.0617358491,0.181754717,0.7565660377,0.4992509434,41,12,0,8,0,0.844750002,0.1552500073,0.2507749982,3,0,5
3.0931524778,0,0,0,0,0,0,0,0,0,120,55,84045,241,242,182,134,177,0.053625,0.1634846311,0.782869877,0.5059252049,773,189,14,67,0.0358656715,0.8505671674,0.1135970151,0.1394761164,31,12,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2156666716,0.6683333218,0.1159999967,-0.1272666653,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
